place_standardized_id,place_standardized,country_code,place_standardized_cc,authority_file_uri,latitude,longitude,region,n
5688,Büdelsdorf,DE,Büdelsdorf DE,http://sws.geonames.org/2942093/,54.31844,9.67295,B,0
5689,Búger,ES,Búger ES,http://sws.geonames.org/2520745/,39.75809,2.98349,G,0
5690,Buizingen,BE,Buizingen BE,http://sws.geonames.org/2800790/,50.73537,4.24767,A,0.6931471805599453
5691,Buken,BE,Buken BE,http://sws.geonames.org/2800788/,50.93966,4.61692,A,0
5692,Bullange,BE,Bullange BE,http://sws.geonames.org/2800782/,50.40731,6.25749,F,0
5693,Bulskamp,BE,Bulskamp BE,http://sws.geonames.org/2800778/,51.04229,2.64943,A,0
5694,Bülstringen,DE,Bülstringen DE,http://sws.geonames.org/2941744/,52.31667,11.35,B,0
5695,Bundenbach,DE,Bundenbach DE,http://sws.geonames.org/2941692/,49.8428,7.37826,D,0
5696,Burbure,FR,Burbure FR,http://sws.geonames.org/3029548/,50.53663,2.46897,F,0
5697,Bürchen,CH,Bürchen CH,http://sws.geonames.org/2661326/,46.28053,7.81506,D,0
5698,Burcht,BE,Burcht BE,http://sws.geonames.org/2800765/,51.20393,4.34286,A,0.6931471805599453
5699,Burgen,DE,Burgen DE,http://sws.geonames.org/2941392/,50.21127,7.38959,D,0
5700,Burghausen,DE,Burghausen DE,http://sws.geonames.org/2941279/,48.16925,12.83139,D,0
5701,Burghsluis,NL,Burghsluis NL,http://sws.geonames.org/2758078/,51.67833,3.75,A,0
5702,Burgh St Peter,GB,Burgh St Peter GB,http://sws.geonames.org/2654295/,52.48333,1.63333,E,0
5703,Burgos,IT,Burgos IT,http://sws.geonames.org/3181398/,40.39081,8.99558,H,0
5704,Burg Stargard,DE,Burg Stargard DE,http://sws.geonames.org/2941107/,53.49582,13.31122,B,0
5705,Burham,GB,Burham GB,http://sws.geonames.org/2654293/,51.33243,0.47833,E,0
5706,Burie,FR,Burie FR,http://sws.geonames.org/3029505/,45.77273,-0.42289,F,0
5707,Burn,GB,Burn GB,http://sws.geonames.org/2654282/,53.74935,-1.10123,E,0
5708,Burrel,AL,Burrel AL,http://sws.geonames.org/783493/,41.61028,20.00889,I,0
5709,Burtenbach,DE,Burtenbach DE,http://sws.geonames.org/2940929/,48.34051,10.4528,D,0
5710,Buschwiller,FR,Buschwiller FR,http://sws.geonames.org/3029478/,47.55879,7.50744,D,0
5711,Büsingen,DE,Büsingen DE,http://sws.geonames.org/2940715/,47.69638,8.68759,D,0
5712,Buso,IT,Buso IT,http://sws.geonames.org/8949379/,45.06491,11.84772,H,0
5713,Bussang,FR,Bussang FR,http://sws.geonames.org/3029462/,47.88449,6.85272,D,0
5714,Buttes,CH,Buttes CH,http://sws.geonames.org/2661301/,46.88812,6.55137,D,0
5715,Buurse,NL,Buurse NL,http://sws.geonames.org/2758050/,52.14667,6.83056,A,0
